variable,model_order,distribution,convergence,loglik,AIC,BIC,persistence,mean_model,params_json,pvalues_json,failure_reason,residual_diagnostics_summary
r_gold,"(3,3)",t,True,-1602.1887748753861,3224.3775497507722,3275.269981301047,0.8839563168199263,AR(1),"{""Const"": 0.06888874799559581, ""r_gold[1]"": -0.011642161949457447, ""omega"": 0.1139632862307101, ""alpha[1]"": 0.020648755305195228, ""alpha[2]"": 0.0447813971244111, ""alpha[3]"": 0.05316566550301515, ""beta[1]"": 0.3223473328306131, ""beta[2]"": 1.800164291852085e-14, ""beta[3]"": 0.4430131660566736, ""nu"": 5.311825115457289}","{""Const"": 0.0058342388375322764, ""r_gold[1]"": 0.6631114983868229, ""omega"": 0.054429129614677364, ""alpha[1]"": 0.61136583476662, ""alpha[2]"": 0.20344170496896674, ""alpha[3]"": 0.07074634355562763, ""beta[1]"": 0.18907209237561518, ""beta[2]"": 0.9999999999999551, ""beta[3]"": 0.033813581129697505, ""nu"": 9.904910944138944e-11}",,"LB_p=0.0353; LB2_p=0.8805; ARCHLM_p=0.8886; pass=LB_sq,ARCHLM"
r_ai,"(4,4)",normal,True,-2283.699073373091,4589.398146746182,4645.3798214514845,0.9419961242262426,AR(1),"{""Const"": 0.07202829108816917, ""r_ai[1]"": 0.001129105506990598, ""omega"": 0.1858692546516432, ""alpha[1]"": 0.05476684806461713, ""alpha[2]"": 0.15472469240389, ""alpha[3]"": 0.052858448708572536, ""alpha[4]"": 2.2144590238115233e-12, ""beta[1]"": 0.0, ""beta[2]"": 0.0, ""beta[3]"": 0.2983033483974045, ""beta[4]"": 0.3813427866495439}","{""Const"": 0.1174805754757705, ""r_ai[1]"": 0.9704784030456289, ""omega"": 0.6256356963119738, ""alpha[1]"": 0.15022221421255977, ""alpha[2]"": 0.40146418769601944, ""alpha[3]"": 0.8616662017547864, ""alpha[4]"": 0.9999999999741341, ""beta[1]"": 1.0, ""beta[2]"": 1.0, ""beta[3]"": 0.7630946228445898, ""beta[4]"": 0.8273468763770058}",,"LB_p=0.0093; LB2_p=0.9090; ARCHLM_p=0.9081; pass=LB_sq,ARCHLM"
r_electricity,"(4,4)",normal,True,-1912.2298998521815,3846.459799704363,3902.4414744096657,0.7056824994041946,AR(1),"{""Const"": 0.06797032284982928, ""r_el...ity[1]"": -0.03642209578405341, ""omega"": 0.4482918299873615, ""alpha[1]"": 0.07086458397811456, ""alpha[2]"": 0.13594258385531294, ""alpha[3]"": 0.14609931635610351, ""alpha[4]"": 2.237094902188499e-10, ""beta[1]"": 0.0, ""beta[2]"": 0.0, ""beta[3]"": 0.35277600937831155, ""beta[4]"": 5.612642466982033e-09}","{""Const"": 0.05442218017133287, ""r_el...ity[1]"": 0.24396253417583502, ""omega"": 0.5005697700955916, ""alpha[1]"": 0.05314786300072407, ""alpha[2]"": 0.20797881167487298, ""alpha[3]"": 0.5223277114464266, ""alpha[4]"": 0.9999999992124079, ""beta[1]"": 1.0, ""beta[2]"": 1.0, ""beta[3]"": 0.5259095395577168, ""beta[4]"": 0.9999999938222321}",,"LB_p=0.1164; LB2_p=0.9961; ARCHLM_p=0.9970; pass=LB,LB_sq,ARCHLM"
r_coal,"(4,4)",normal,True,-3097.506715812025,6217.01343162405,6272.995106329353,0.977487924053982,AR(1),"{""Const"": 0.10916725646882584, ""r_coal[1]"": 0.05838944053294905, ""omega"": 0.26004276639620677, ""alpha[1]"": 0.048950043157643786, ""alpha[2]"": 0.06895236987807976, ""alpha[3]"": 2.970571000443719e-11, ""alpha[4]"": 5.02832632648753e-11, ""beta[1]"": 0.05196711607065312, ""beta[2]"": 0.5758664598788614, ""beta[3]"": 0.0, ""beta[4]"": 0.231751934988755}","{""Const"": 0.20320469517612694, ""r_coal[1]"": 0.06500833150063878, ""omega"": 0.29233729675302667, ""alpha[1]"": 0.12316760755476995, ""alpha[2]"": 0.23139221019325085, ""alpha[3]"": 0.999999999329001, ""alpha[4]"": 0.9999999992283437, ""beta[1]"": 0.92723203936572, ""beta[2]"": 0.3584136857503415, ""beta[3]"": 1.0, ""beta[4]"": 0.6633496494316602}",,"LB_p=0.4484; LB2_p=0.5988; ARCHLM_p=0.6392; pass=LB,LB_sq,ARCHLM"
r_gas,"(4,4)",normal,True,-3971.785916054496,7965.571832108992,8021.553506814294,1.000000000003231,AR(1),"{""Const"": 0.2217251241022114, ""r_gas[1]"": 0.009695054328161179, ""omega"": 11.282026937600953, ""alpha[1]"": 0.14374509310434072, ""alpha[2]"": 0.11141940644362489, ""alpha[3]"": 0.4861362512142589, ""alpha[4]"": 0.15202234890901584, ""beta[1]"": 0.0, ""beta[2]"": 0.0, ""beta[3]"": 0.1066769003319907, ""beta[4]"": 0.0}","{""Const"": 0.355844388365282, ""r_gas[1]"": 0.9720449250634641, ""omega"": 0.6846609844413014, ""alpha[1]"": 0.1614933286426451, ""alpha[2]"": 0.8946002016196752, ""alpha[3]"": 0.1938191531422937, ""alpha[4]"": 0.9607333934245074, ""beta[1]"": 1.0, ""beta[2]"": 1.0, ""beta[3]"": 0.9409032516316173, ""beta[4]"": 1.0}",,"LB_p=0.3780; LB2_p=0.9992; ARCHLM_p=0.9992; pass=LB,LB_sq,ARCHLM"
r_wti,"(4,4)",normal,True,-2757.825887761377,5537.651775522754,5593.633450228057,0.9538704346212208,AR(1),"{""Const"": 0.1255227311294504, ""r_wti[1]"": 0.01580105130418017, ""omega"": 0.3905960840477344, ""alpha[1]"": 0.18243223359116362, ""alpha[2]"": 0.020983558608257295, ""alpha[3]"": 0.03726250239451323, ""alpha[4]"": 0.01411219357309913, ""beta[1]"": 0.1623266539893769, ""beta[2]"": 0.5367532924647028, ""beta[3]"": 1.0785093562483132e-13, ""beta[4]"": 0.0}","{""Const"": 0.036501700144632124, ""r_wti[1]"": 0.6071997916109912, ""omega"": 0.3753311716614657, ""alpha[1]"": 0.0025654441061233775, ""alpha[2]"": 0.8815738758001064, ""alpha[3]"": 0.8000745130581545, ""alpha[4]"": 0.7352389944937887, ""beta[1]"": 0.8236733146667996, ""beta[2]"": 0.4315146039092044, ""beta[3]"": 0.9999999999997959, ""beta[4]"": 1.0}",,"LB_p=0.9525; LB2_p=0.0958; ARCHLM_p=0.1257; pass=LB,LB_sq,ARCHLM"
r_gold,"(4,4)",normal,True,-1634.410686406357,3290.821372812714,3346.8030475180167,0.7556759024094344,AR(1),"{""Const"": 0.03072204795446198, ""r_gold[1]"": 8.349433149457068e-05, ""omega"": 0.23474409595939094, ""alpha[1]"": 0.028504133467125627, ""alpha[2]"": 0.1385478762385711, ""alpha[3]"": 0.04974140297284039, ""alpha[4]"": 0.02878032002656284, ""beta[1]"": 2.3167504933350617e-16, ""beta[2]"": 0.0, ""beta[3]"": 0.2135402613457213, ""beta[4]"": 0.2965619083586129}","{""Const"": 0.2502447082918019, ""r_gold[1]"": 0.9977930998451157, ""omega"": 0.06041974476411378, ""alpha[1]"": 0.4345899427269526, ""alpha[2]"": 0.012711543617158661, ""alpha[3]"": 0.706250927226072, ""alpha[4]"": 0.8299178741205813, ""beta[1]"": 0.9999999999999998, ""beta[2]"": 1.0, ""beta[3]"": 0.35799947310182656, ""beta[4]"": 0.37825579085782957}",,"LB_p=0.0392; LB2_p=0.9553; ARCHLM_p=0.9631; pass=LB_sq,ARCHLM"
r_ai,"(4,4)",t,True,-2275.7320095432947,4575.464019086589,4636.5349369469195,0.9343761614431507,AR(1),"{""Const"": 0.09990026533140159, ""r_ai[1]"": 0.0013363030694001129, ""omega"": 0.2133633296659318, ""alpha[1]"": 0.049235449441162295, ""alpha[2]"": 0.15051377627696055, ""alpha[3]"": 0.07737943746101306, ""alpha[4]"": 0.016504754611285387, ""beta[1]"": 5.83891998815972e-12, ""beta[2]"": 6.037820725893111e-12, ""beta[3]"": 0.35898816277004336, ""beta[4]"": 0.28175458087080935, ""nu"": 13.066126361070333}","{""Const"": 0.022602978712401182, ""r_ai[1]"": 0.9632610930736292, ""omega"": 0.4289120951266908, ""alpha[1]"": 0.14916236283538215, ""alpha[2]"": 0.13604839385235418, ""alpha[3]"": 0.6986280192211538, ""alpha[4]"": 0.803930284041868, ""beta[1]"": 0.9999999999971151, ""beta[2]"": 0.9999999999925604, ""beta[3]"": 0.43540185158963207, ""beta[4]"": 0.7821018082125696, ""nu"": 0.006026786449938968}",,"LB_p=0.0110; LB2_p=0.9652; ARCHLM_p=0.9671; pass=LB_sq,ARCHLM"
r_electricity,"(4,4)",t,True,-1895.6707396879092,3815.3414793758184,3876.4123972361485,0.8185940565076892,AR(1),"{""Const"": 0.08206984922273108, ""r_el...ity[1]"": -0.02717154625686407, ""omega"": 0.2879959252147069, ""alpha[1]"": 0.1269966261918556, ""alpha[2]"": 0.12046192582427478, ""alpha[3]"": 0.04493769636899848, ""alpha[4]"": 0.0, ""beta[1]"": 0.22483945237499636, ""beta[2]"": 2.1845195671680137e-15, ""beta[3]"": 2.1537685263758178e-15, ""beta[4]"": 0.30135835574755976, ""nu"": 7.554777783186833}","{""Const"": 0.01268085739991619, ""r_el...ity[1]"": 0.4013505495540043, ""omega"": 0.19027200588485793, ""alpha[1]"": 0.019031791018085036, ""alpha[2]"": 0.40460043590232886, ""alpha[3]"": 0.5777411552255045, ""alpha[4]"": 1.0, ""beta[1]"": 0.7873414161676002, ""beta[2]"": 0.9999999999999976, ""beta[3]"": 0.999999999999997, ""beta[4]"": 0.43937836455895196, ""nu"": 1.9157933462305646e-07}",,"LB_p=0.1594; LB2_p=0.9979; ARCHLM_p=0.9981; pass=LB,LB_sq,ARCHLM"
r_coal,"(4,4)",t,True,-3066.2668749621716,6156.533749924343,6217.604667784673,0.9911496635560606,AR(1),"{""Const"": 0.10386455777491801, ""r_coal[1]"": 0.03808987995054224, ""omega"": 0.1028170170316003, ""alpha[1]"": 0.025781783952983552, ""alpha[2]"": 0.018713290211196266, ""alpha[3]"": 0.042904897556833924, ""alpha[4]"": 2.834799901081757e-12, ""beta[1]"": 0.3820539567655275, ""beta[2]"": 4.087099388523867e-12, ""beta[3]"": 4.573519902755034e-10, ""beta[4]"": 0.5216957346052454, ""nu"": 5.8780780508024595}","{""Const"": 0.40217333112865217, ""r_coal[1]"": 0.23972431495202706, ""omega"": 0.7465205678094254, ""alpha[1]"": 0.8937826599177582, ""alpha[2]"": 0.9640814009269579, ""alpha[3]"": 0.9255403374073133, ""alpha[4]"": 0.9999999999949051, ""beta[1]"": 0.7789202384961984, ""beta[2]"": 0.9999999999990125, ""beta[3]"": 0.9999999999346638, ""beta[4]"": 0.8774967847749149, ""nu"": 2.101329890528645e-09}",,"LB_p=0.3895; LB2_p=0.1332; ARCHLM_p=0.1934; pass=LB,LB_sq,ARCHLM"
r_gas,"(4,4)",t,True,-3838.2122143042316,7700.424428608463,7761.495346468793,0.8737478988578465,AR(1),"{""Const"": 0.12531506986574023, ""r_gas[1]"": 0.0038557117280265205, ""omega"": 15.774231816711337, ""alpha[1]"": 0.21050039506344614, ""alpha[2]"": 0.18239611893472438, ""alpha[3]"": 0.27398190348513585, ""alpha[4]"": 0.1279278862608274, ""beta[1]"": 0.0, ""beta[2]"": 0.0, ""beta[3]"": 0.07894159511370862, ""beta[4]"": 4.171895959518377e-15, ""nu"": 3.6098704548952747}","{""Const"": 0.3558937725260851, ""r_gas[1]"": 0.8927776310968768, ""omega"": 0.021171535097126867, ""alpha[1]"": 0.019567607913653938, ""alpha[2]"": 0.028011627936274697, ""alpha[3]"": 0.017392497983600666, ""alpha[4]"": 0.11455101967407928, ""beta[1]"": 1.0, ""beta[2]"": 1.0, ""beta[3]"": 0.42618988245713585, ""beta[4]"": 0.9999999999999559, ""nu"": 1.3226511336445712e-15}",,"LB_p=0.5193; LB2_p=0.9994; ARCHLM_p=0.9995; pass=LB,LB_sq,ARCHLM"
r_wti,"(4,4)",t,True,-2737.515144492164,5499.030288984328,5560.101206844658,0.889374644015566,AR(1),"{""Const"": 0.17973682468087906, ""r_wti[1]"": 0.01203207620915403, ""omega"": 0.754009793927204, ""alpha[1]"": 0.1384641339614012, ""alpha[2]"": 0.10566538965951491, ""alpha[3]"": 0.12589290820544538, ""alpha[4]"": 0.0, ""beta[1]"": 3.865132448362257e-12, ""beta[2]"": 4.2881419694704526e-12, ""beta[3]"": 0.1926139476297626, ""beta[4]"": 0.3267382645512885, ""nu"": 7.866291247328057}","{""Const"": 0.003089330022812547, ""r_wti[1]"": 0.6784320635915495, ""omega"": 0.008086281926109728, ""alpha[1]"": 0.017167051686418328, ""alpha[2]"": 0.010322056484600692, ""alpha[3]"": 0.05495766308439773, ""alpha[4]"": 1.0, ""beta[1]"": 0.9999999999868209, ""beta[2]"": 0.99999999998025, ""beta[3]"": 0.2853483135828213, ""beta[4]"": 0.02928800995435808, ""nu"": 3.034223605015493e-06}",,LB_p=0.9040; LB2_p=0.0012; ARCHLM_p=0.0030; pass=LB
r_gold,"(4,4)",t,True,-1601.6040071411162,3227.2080142822324,3288.2789321425626,0.8400559061584106,AR(1),"{""Const"": 0.0677042510605474, ""r_gold[1]"": -0.014660757626181055, ""omega"": 0.15627220176144282, ""alpha[1]"": 0.01104405952251919, ""alpha[2]"": 0.08323452682751638, ""alpha[3]"": 0.040423303582094984, ""alpha[4]"": 0.02755047985161467, ""beta[1]"": 0.0, ""beta[2]"": 0.0, ""beta[3]"": 0.22169857496208834, ""beta[4]"": 0.45610496141257706, ""nu"": 5.337710216850519}","{""Const"": 0.007205734752513157, ""r_gold[1]"": 0.6012946948033839, ""omega"": 0.08028473037671148, ""alpha[1]"": 0.8160716692287164, ""alpha[2]"": 0.06262655387826123, ""alpha[3]"": 0.46482247289044065, ""alpha[4]"": 0.46196829308380927, ""beta[1]"": 1.0, ""beta[2]"": 1.0, ""beta[3]"": 0.3181626707302939, ""beta[4]"": 0.030030534515785468, ""nu"": 2.757969144125302e-10}",,"LB_p=0.0324; LB2_p=0.9595; ARCHLM_p=0.9646; pass=LB_sq,ARCHLM"
r_ai,"(5,5)",normal,True,-2283.6990737013966,4593.398147402793,4659.558308418151,0.9419896775865217,AR(1),"{""Const"": 0.0720213232821338, ""r_ai[1]"": 0.0011411084028936365, ""omega"": 0.18589552599058282, ""alpha[1]"": 0.05477090371543249, ""alpha[2]"": 0.15473883667746485, ""alpha[3]"": 0.05285941325512578, ""alpha[4]"": 1.8794504212338617e-11, ""alpha[5]"": 6.927300019173363e-11, ""beta[1]"": 2.369676563814719e-10, ""beta[2]"": 2.2837827765149494e-10, ""beta[3]"": 0.2982927013989129, ""beta[4]"": 0.3813278217191152, ""beta[5]"": 2.6705699752198643e-10}","{""Const"": 0.12462963930256109, ""r_ai[1]"": 0.9710061801742026, ""omega"": 0.35888048739709644, ""alpha[1]"": 0.2328166093426729, ""alpha[2]"": 0.029355363275937747, ""alpha[3]"": 0.6410896272699891, ""alpha[4]"": 0.999999999801618, ""alpha[5]"": 0.9999999995716388, ""beta[1]"": 0.999999999667404, ""beta[2]"": 0.999999999708348, ""beta[3]"": 0.5963124004044476, ""beta[4]"": 0.40133350284850855, ""beta[5]"": 0.999999999561412}",,"LB_p=0.0093; LB2_p=0.9091; ARCHLM_p=0.9082; pass=LB_sq,ARCHLM"
r_electricity,"(5,5)",normal,True,-1911.081578561847,3848.163157123694,3914.3233181390515,0.7008795046349257,AR(1),"{""Const"": 0.07365449791532615, ""r_el...ity[1]"": -0.036156229161034066, ""omega"": 0.4569225003291677, ""alpha[1]"": 0.1119803098217432, ""alpha[2]"": 0.1413855913364839, ""alpha[3]"": 0.12857083996611, ""alpha[4]"": 4.8507871722148136e-12, ""alpha[5]"": 0.007181380159365596, ""beta[1]"": 9.782091600222564e-14, ""beta[2]"": 6.168202593475072e-13, ""beta[3]"": 0.0, ""beta[4]"": 0.04726354210014473, ""beta[5]"": 0.2644978412455129}","{""Const"": 0.032801211057297844, ""r_el...ity[1]"": 0.26739473031038385, ""omega"": 0.09229790740372237, ""alpha[1]"": 0.0340599676285967, ""alpha[2]"": 0.04971958381202185, ""alpha[3]"": 0.28338636741358103, ""alpha[4]"": 0.9999999999450139, ""alpha[5]"": 0.9254962983110412, ""beta[1]"": 0.9999999999997925, ""beta[2]"": 0.9999999999980217, ""beta[3]"": 1.0, ""beta[4]"": 0.6149081974300475, ""beta[5]"": 0.14315972106703995}",,"LB_p=0.1562; LB2_p=0.9947; ARCHLM_p=0.9959; pass=LB,LB_sq,ARCHLM"
