parameter_id,frequency_band,variable,TO,FROM,NET,average_TCI
P1_H20_S3,short_term,r_gold,19.583478477409944,22.724017865036235,-3.140539387626293,24.10694433488888
P1_H20_S3,short_term,r_wti,22.022691934431343,20.881462067147467,1.1412298672838745,24.10694433488888
P2_H10_S1,long_term,r_ai,41.50871721962336,29.74477232570632,11.763944893917031,27.887986291004054
P2_H10_S1,long_term,r_coal,39.11913542419651,30.543252682534632,8.575882741661873,27.887986291004054
P2_H10_S1,long_term,r_electricity,32.24620503446897,28.976768751755138,3.2694362827138375,27.887986291004054
P2_H10_S1,long_term,r_gas,11.38659734333363,18.014871046541185,-6.628273703207552,27.887986291004054
P2_H10_S1,long_term,r_gold,21.459764688271495,28.204317615858283,-6.744552927586792,27.887986291004054
P2_H10_S1,long_term,r_wti,21.607498036130387,31.843935323628788,-10.2364372874984,27.887986291004054
P2_H10_S1,medium_term,r_ai,38.420087334224625,31.479682619533456,6.940404714691168,27.619602115452924
P2_H10_S1,medium_term,r_coal,40.90071098882518,29.59972425816805,11.300986730657137,27.619602115452924
P2_H10_S1,medium_term,r_electricity,30.481324099885754,28.8716633304753,1.6096607694104543,27.619602115452924
P2_H10_S1,medium_term,r_gas,12.03102506044391,18.04181179110872,-6.01078673066481,27.619602115452924
P2_H10_S1,medium_term,r_gold,21.527418824835266,26.30581752178067,-4.778398696945409,27.619602115452924
P2_H10_S1,medium_term,r_wti,22.35704638450281,31.418913171651347,-9.061866787148539,27.619602115452924
P2_H10_S1,short_term,r_ai,35.85682423446641,33.06449529546768,2.792328938998729,26.16987441737782
P2_H10_S1,short_term,r_coal,31.61010849562471,34.13381483375966,-2.5237063381349505,26.16987441737782
P2_H10_S1,short_term,r_electricity,30.049709753267773,27.920876149137243,2.128833604130532,26.16987441737782
P2_H10_S1,short_term,r_gas,12.473988172335751,15.374901447220656,-2.9009132748849056,26.16987441737782
P2_H10_S1,short_term,r_gold,22.12255864808781,23.54080078031662,-1.4182421322288081,26.16987441737782
P2_H10_S1,short_term,r_wti,24.906057200484454,22.984357998365052,1.9216992021194035,26.16987441737782
P2_H10_S2,long_term,r_ai,41.59652094745532,29.655956390820194,11.940564556635122,27.88899832669935
P2_H10_S2,long_term,r_coal,38.9757778380346,30.58441619078892,8.391361647245677,27.88899832669935
P2_H10_S2,long_term,r_electricity,32.321475299141504,28.968583426057585,3.3528918730839137,27.88899832669935
P2_H10_S2,long_term,r_gas,11.396629716626547,18.029550828774365,-6.6329211121478195,27.88899832669935
P2_H10_S2,long_term,r_gold,21.520542738274944,28.25828151208775,-6.737738773812805,27.88899832669935
P2_H10_S2,long_term,r_wti,21.52304342066321,31.837201611667304,-10.314158191004092,27.88899832669935
P2_H10_S2,medium_term,r_ai,40.56772655514602,30.48045108176004,10.08727547338598,27.84739924055887
P2_H10_S2,medium_term,r_coal,40.00212142708601,30.218967920685262,9.783153506400753,27.84739924055887
