date,ai_electricity,ai_coal,ai_gas,ai_wti,ai_gold,electricity_coal,electricity_gas,electricity_wti,electricity_gold,coal_gas,coal_wti,coal_gold,gas_wti,gas_gold,wti_gold
2020-03-02,10.196071105927889,2.099371841562089,23.488329358518342,4.632881350036133,33.74833700127284,-8.0966992643658,13.292258252590454,-5.563189755891756,23.55226589534495,21.388957516956253,2.5335095084740438,31.648965159710748,-18.85544800848221,10.260007642754495,29.115455651236704
2020-03-03,11.192821724817406,2.278021214682255,14.99782239739259,7.5735482582072855,33.91174851372287,-8.914800510135152,3.805000672575183,-3.619273466610121,22.718926788905467,12.719801182710334,5.295527043525031,31.63372729904062,-7.424274139185304,18.913926116330284,26.338200255515588
2020-03-04,9.094739925944776,7.914972631373345,16.00619774189862,11.456806175845184,44.535063310035014,-1.1797672945714304,6.911457815953845,2.3620662499004084,35.440323384090235,8.091225110525276,3.5418335444718387,36.62009067866167,-4.549391566053437,28.528865568136393,33.078257134189826
2020-03-05,3.8900150072181887,5.858370543459177,16.090620340634477,7.659451807727063,41.98325941343283,1.9683555362409884,12.200605333416288,3.769436800508874,38.093244406214644,10.2322497971753,1.8010812642678857,36.12488886997366,-8.431168532907414,25.892639072798357,34.32380760570577
2020-03-06,7.623467234888391,-0.25304646761077976,16.85631379432968,10.080437685762547,39.72358639951993,-7.876513702499171,9.232846559441288,2.456970450874156,32.100119164631536,17.10936026194046,10.333484153373327,39.97663286713071,-6.775876108567132,22.86727260519025,29.643148713757384
2020-03-09,44.22086315665506,-30.49322553700882,36.72399122553163,-85.6617597319475,11.275430107655566,-74.71408869366388,-7.4968719311234295,-129.88262288860255,-32.94543304899949,67.21721676254045,-55.16853419493868,41.768655644664385,-122.38575095747913,-25.44856111787606,96.93718983960306
2020-03-10,19.125051404336233,16.265699271361463,9.250697683660412,-2.331072929271386,53.417707297548816,-2.85935213297477,-9.87435372067582,-21.45612433360762,34.29265589321258,-7.01500158770105,-18.59677220063285,37.15200802618735,-11.581770612931798,44.1670096138884,55.7487802268202
2020-03-11,9.180234371050581,17.07475133086197,19.246760101989146,1.6667725497585124,44.93629902294767,7.894516959811391,10.066525730938565,-7.5134618212920685,35.75606465189709,2.1720087711271745,-15.40797878110346,27.8615476920857,-17.579987552230634,25.689538920958526,43.26952647318916
2020-03-12,-0.96172622736173,16.70603246258024,21.34972212642319,7.8668656823921665,38.451687392183224,17.66775868994197,22.311448353784918,8.828591909753897,39.413413619544954,4.643689663842949,-8.839166780188073,21.745654929602985,-13.482856444031022,17.101965265760036,30.584821709791058
2020-03-13,5.479987896352398,13.852384187117956,20.710244481665743,15.426415020595304,50.46353554828518,8.372396290765558,15.230256585313345,9.946427124242906,44.98354765193278,6.857860294547788,1.574030833477348,36.611151361167224,-5.2838294610704395,29.753291066619436,35.03712052768988
2020-03-16,4.020097784644861,24.154475073217665,24.24735689905502,14.953791127768245,47.91635872777056,20.134377288572804,20.22725911441016,10.933693343123384,43.8962609431257,0.09288182583735605,-9.20068394544942,23.761883654552893,-9.293565771286776,23.669001828715537,32.962567600002316
2020-03-17,-0.13780320620713127,16.891799850985553,17.887857332093727,10.671379531073946,28.40187548332258,17.029603057192684,18.02566053830086,10.809182737281077,28.539678689529712,0.9960574811081742,-6.220420319911607,11.510075632337028,-7.216477801019781,10.514018151228854,17.730495952248635
2020-03-18,1.4879259004318754,15.178576995667989,16.450124664327905,8.186394708023418,25.28688089927691,13.690651095236113,14.96219876389603,6.698468807591542,23.798954998845034,1.2715476686599168,-6.992182287644571,10.10830390360892,-8.263729956304488,8.836756234949004,17.10048619125349
2020-03-19,1.277556473732627,15.11684116222602,17.87036705319392,12.719699356888867,24.662171016178597,13.839284688493393,16.592810579461293,11.44214288315624,23.384614542445973,2.7535258909679,-2.397141805337153,9.545329853952579,-5.150667696305053,6.7918039629846785,11.942471659289732
2020-03-20,2.1865130795737144,14.021832405436179,20.95166582030212,12.702926498797765,30.96529297389842,11.835319325862464,18.765152740728407,10.516413419224051,28.778779894324707,6.929833414865943,-1.3189059066384132,16.943460568462243,-8.248739321504356,10.0136271535963,18.262366475100656
2020-03-23,5.19158893729653,13.647628294277851,18.65347066324035,16.95979734727889,24.374260891654806,8.456039356981321,13.461881725943819,11.76820840998236,19.182671954358277,5.005842368962497,3.312169053001039,10.726632597376954,-1.6936733159614583,5.720790228414456,7.414463544375915
