date,TCI,TO_r_ai,FROM_r_ai,NET_r_ai,TO_r_electricity,FROM_r_electricity,NET_r_electricity,TO_r_coal,FROM_r_coal,NET_r_coal,TO_r_gas,FROM_r_gas,NET_r_gas,TO_r_wti,FROM_r_wti,NET_r_wti,TO_r_gold,FROM_r_gold,NET_r_gold
2024-07-16,16.769773592032635,18.908086769065665,18.31657556453291,0.591511204532754,15.215760060410716,17.098611784807677,-1.8828517243969607,17.755914586334626,13.497356281603523,4.258558304731103,11.34846174691187,12.185832851687566,-0.8373711047756967,12.144497910548589,16.71829175133077,-4.573793840782182,25.245920478924326,22.80197331823334,2.4439471606909855
2024-07-17,15.921110414726721,17.86683207720373,17.350279851577337,0.5165522256263912,14.589178603244383,16.350686446140962,-1.7615078428965791,16.179012381608114,12.70624642365312,3.4727659579549943,10.315374954906861,11.193494405910148,-0.8781194510032861,11.474390527828788,15.766448831006896,-4.292058303178107,25.10187394356843,22.159506530071848,2.9423674134965836
2024-07-18,16.430606006554452,19.508861081702804,18.47895934834687,1.0299017333559348,13.98557749243734,16.100113320192726,-2.114535827755386,17.307230267422007,13.887346398271822,3.419883869150185,10.330939293272564,11.301167172823858,-0.9702278795512935,10.76952459955121,15.394334738592539,-4.62481013904133,26.681503304940797,23.421715061098904,3.259788243841893
2024-07-19,16.48103877678169,20.773551503404157,18.899107458610303,1.8744440447938544,12.75584971277085,15.391417354543469,-2.635567641772619,16.866456894984104,14.868277615018819,1.998179279965285,6.8664788799527905,8.035244715168993,-1.1687658352162025,11.029842017989866,15.933316440195316,-4.90347442220545,30.594053651588382,25.758869077153246,4.835184574435136
2024-07-22,15.800888700770068,18.96006842197142,17.303366389545356,1.6567020324260646,12.952192602276336,15.86850722588461,-2.916314623608274,16.85490848917742,14.735604940677982,2.1193035484994365,5.805561301502247,6.937584456189707,-1.1320231546874595,10.344342935805399,15.498213986771905,-5.153871050966506,29.888258453887595,24.46205520555086,5.4262032483367335
2024-07-23,14.195459759243171,17.618168333075456,17.18028443765957,0.43788389541588657,12.928010799849094,15.408682296493732,-2.4806714966446375,15.428101073885388,14.043575102562961,1.384525971322427,4.476199740199688,5.5671656000201075,-1.09096585982042,6.888875465223217,10.037014974414676,-3.1481395091914592,27.83340314322618,22.936036144307984,4.897366998918198
2024-07-24,13.230361442289226,15.268497789144217,14.971965542859866,0.29653224628435026,8.560252409700132,11.332705102382798,-2.7724526926826663,15.644135435280482,14.400743627374565,1.2433918079059172,4.785230367500211,5.924040778870557,-1.138810411370346,7.769144591555194,10.532222243034823,-2.7630776514796294,27.35490806055513,22.22049135921275,5.134416701342378
2024-07-25,12.273800978860345,11.70942219097185,12.787536993392157,-1.0781148024203073,9.091549384106054,11.295451056583662,-2.203901672477608,15.65619227614547,14.1742282281419,1.4819640480035705,4.79756504214,5.94565851223484,-1.1480934700948406,5.659931802068012,7.646180925004825,-1.9862491229368127,26.728145177730696,21.7937501578047,4.934395019925997
2024-07-26,12.562709560640121,12.299404038645909,13.761292105125115,-1.4618880664792062,9.653944737473992,12.166820982652528,-2.5128762451785356,16.100439714052055,14.604015066024914,1.4964246480271406,4.7571188856417,5.824990169114015,-1.0678712834723152,4.709163777484336,6.51790916292494,-1.808745385440604,27.856186210542727,22.501229877999204,5.354956332543523
2024-07-29,12.441542662057275,12.180864976102457,13.861371754436005,-1.6805067783335481,9.686020638121587,11.918189668497666,-2.2321690303760793,16.29093666332777,14.760161866956137,1.5307747963716327,4.2416163455466105,5.440325244231037,-1.1987088986844263,4.584483194079687,6.2515898086353054,-1.6671066145556184,27.66533415516554,22.4176176295875,5.2477165255780385
2024-07-30,11.743952597039469,11.277088105438843,12.92967904162175,-1.6525909361829072,10.026989820738747,12.02240151365665,-1.9954116929179033,15.772390959684103,14.115005235987255,1.657385723696848,3.9985917781390317,5.422722689257959,-1.4241309111189278,4.316229905599489,5.612288234573492,-1.296058328974003,25.072425012636597,20.361618867139704,4.710806145496893
2024-07-31,15.933694619837077,17.105717053478717,18.332265219222677,-1.22654816574396,13.843549667085359,17.22110791184986,-3.3775582447645007,20.384573852012476,18.64624766252444,1.7383261894880349,2.232123963582559,3.2559360827230837,-1.0238121191405245,9.635774613394357,11.263847632127627,-1.6280730187332697,32.400428569469,26.88276321057478,5.51766535889422
2024-08-01,15.609952336165398,18.19862547835629,19.63628389256042,-1.4376584142041295,9.698630401795597,10.544999220185964,-0.846368818390367,25.2990382827529,22.69487496496633,2.6041633177865684,1.9203195611970776,3.169496631693341,-1.2491770704962633,10.077250619878782,13.14948428414429,-3.0722336642655073,28.46584967301175,24.464575023442052,4.001274649569698
2024-08-02,18.552292828440144,25.962453396695185,25.849570086884803,0.11288330981038186,10.85023878176029,10.485200507689386,0.36503827407090306,30.785644283086107,28.34518858713183,2.4404556959542774,1.5378438167206783,3.4652494977027866,-1.9274056809821083,16.8716078832829,19.89956170890139,-3.027953825618493,25.30596880909572,23.268986582330687,2.0369822267650335
2024-08-05,21.63504821844953,31.2137651495063,29.79175497329755,1.422010176208751,14.911964982057654,15.256022629321478,-0.34405764726382415,33.23425289924561,31.546168029887323,1.6880848693582884,1.3689021756548128,3.418304525206185,-2.0494023495513725,17.17290519947904,20.716240730014235,-3.5433355305351952,31.908498904753753,29.081798422970394,2.8267004817833588
2024-08-06,20.963035192949672,30.442733214403862,29.152740882152763,1.2899923322510993,13.759095018832996,13.895745228527174,-0.13665020969417796,33.19267141743535,31.30654497866307,1.8861264387722798,1.3318077304818958,3.359073384528941,-2.0272656540470453,17.199224843058403,20.612664840017253,-3.41343999695885,29.852678933485528,27.451441843808826,2.4012370896767017
2024-08-07,19.7577087411721,28.34889226273603,27.398864180905314,0.9500280818307161,13.387254975177248,13.510291810458572,-0.12303683528132403,32.70591484673863,30.59956339147699,2.1063514552616383,1.2118452669946114,3.2170824227804937,-2.005237155785882,13.607667597163658,16.990461322622536,-3.3827937254588782,29.28467749822243,26.829989318788687,2.4546881794337416
2024-08-08,22.051963639439233,33.671559041462515,31.812853755787664,1.8587052856748514,11.983857771066871,13.096665582226736,-1.1128078111598647,35.29869761881732,33.24339849355812,2.0552991252592037,0.9958952665709471,3.0917596854006515,-2.0958644188297044,16.37849640555674,20.06291601476295,-3.6844196092062127,33.98327573316102,31.004188304899294,2.979087428261728
2024-08-09,22.096989508359943,34.053617652003275,31.784196234560813,2.2694214174424623,11.976463372333681,13.096078527444948,-1.1196151551112674,35.31665219150024,33.217381136462095,2.0992710550381446,0.9611536457501634,3.37028811619787,-2.4091344704477065,16.466567838141263,20.148705871162996,-3.682138033021733,33.80748235043104,30.965287164330928,2.84219518610011
2024-08-12,20.672956633247505,30.88994361918897,29.174481474673257,1.7154621445157119,11.216695964007151,12.133175495847127,-0.9164795318399754,32.16015002796821,30.734191693433832,1.425958334534375,1.3059717123055048,4.047537411947946,-2.7415656996424413,15.38225878044226,18.354884900562695,-2.9726261201204345,33.08271969557294,29.593468823020174,3.4892508725527662
2024-08-13,19.338140656828664,27.949712541337007,26.815221391766325,1.1344911495706818,11.017736257210311,11.77532856568289,-0.7575923084725797,31.564523677312344,29.933246711660733,1.6312769656516117,1.1765874110232624,3.600119515507897,-2.423532104484635,13.218022325862233,15.762828463420286,-2.5448061375580533,31.102261728226843,28.14209929293388,2.960162435292961
2024-08-14,19.935374234717916,25.445808601111715,25.602583906454658,-0.15677530534294348,11.343760052722955,12.214186159551158,-0.8704261068282033,33.045026010504195,30.816268119092516,2.2287578914116786,1.0300717997039133,3.3463357527616657,-2.3162639530577525,15.537016387239364,17.94553966013458,-2.4085232728952146,33.21056255702535,29.687331810312912,3.5232307467124357
2024-08-15,20.169045607373377,26.186649483235946,26.06608981919117,0.12055966404477658,10.951546491964917,11.806058035317529,-0.8545115433526114,33.94565988620351,31.384187284254487,2.5614726019490206,1.0168680247513537,3.485667132679419,-2.4687991079280653,16.17965715071434,18.770706211940762,-2.591049061226421,32.73389260737019,29.501565160856885,3.2323274465133025
2024-08-16,19.39937747269905,25.36298109287617,26.088243648902587,-0.7252625560264185,10.99006335464523,12.036924992456468,-1.0468616378112383,33.9209228347478,31.319397960520845,2.6015248742269534,2.4504133961717507,3.932833006094959,-1.482419609923208,12.694825730339792,14.560507995705565,-1.8656822653657734,30.97705842741354,28.458357232513848,2.518701194899691
