date,ai_electricity,ai_coal,ai_gas,ai_wti,ai_gold,electricity_gas
2020-03-02,3.9391937835720983,0.01635767873603422,6.088495435456098,5.374495631970666,9.3031210227042,8.797966542470917
2020-03-03,3.1119144156027847,1.6280424312602404,3.295619634156098,6.292052371016532,8.990358517571808,2.138501059824388
2020-03-04,2.126635006696093,2.152953592830034,3.8101821243990814,7.887693375856952,13.69179582858347,0.9030594711825352
2020-03-05,0.07514497975023016,1.2711238132162102,3.833310359320033,5.864735729403074,14.116257489134368,3.8284334816444403
2020-03-06,1.9803361040085536,0.15552012343096888,4.2424815296741,5.99032867729288,12.308253114556747,3.9146879972257964
2020-03-09,14.76980108825714,-10.174025870564913,12.2511192744882,-28.59003928237614,3.7649111971576845,-2.4883679210285745
2020-03-10,6.0556428840350565,5.081845369284646,2.270650131211402,0.670426418339809,17.830796106340944,-8.411588679240316
2020-03-11,4.539670209588239,5.112444489690912,4.8119214955916965,1.1065688446440207,15.131000752687756,-2.528119904675837
2020-03-12,1.4515609634590505,4.732128385453077,3.2580170420502013,2.5208812021762226,15.841606218933807,3.0752523848954896
2020-03-13,2.74660591838016,3.4539301061192824,5.319301693854826,5.238366692341964,18.55265130064264,0.7926799700037248
2020-03-16,1.722769322443346,5.450021954634302,5.924429386059119,5.1307725653800595,20.20269997563528,1.9211241082095223
2020-03-17,0.11402591473078372,4.495019361378369,6.178875019783786,5.134896781205859,8.648885919990759,1.6724097893439747
