+date,total_tci,short_term_TCI,medium_term_TCI,long_term_TCI
+2020-10-12,24.57426929166703,25.392955212332183,23.44623230126838,23.078948795852583
+2020-10-13,24.449362350135303,25.418395480015448,23.2051596868067,22.796247754492157
+2020-10-14,24.476397101956884,25.437918096505676,23.23402793522727,22.800355096238725
+2020-10-15,24.460524266892502,25.42643828402456,23.199478706613487,22.74988755183576
+2020-10-16,24.37524738813099,25.351378473591048,23.106801990442783,22.65945567628341
+2020-10-19,24.41642853712694,25.36588753367261,23.214449562275227,22.794159360287125
+2020-10-20,24.08583713646858,25.21786592468566,22.57975327870382,22.080131288466628
+2020-10-21,23.909668427796845,25.12896448197892,22.22848477039575,21.624785297733805
+2020-10-22,24.017451666929823,25.280393362595227,22.229929364720054,21.592201230845507
+2020-10-23,23.67751287535693,24.95613103020232,21.91971950649464,21.23325275770448
+2020-10-26,23.570172353810374,24.87262889688574,21.73407865764264,20.943781733565693
+2020-10-27,22.81966608694117,24.10133911511658,21.11185122033409,20.52258018128348
+2020-10-28,27.22615861163881,28.65718119154729,25.19651729679633,24.200242747340692
+2020-10-29,26.39452526025053,27.32632120491596,25.0335488044448,24.313296733123146
+2020-10-30,25.567342711272445,26.15351859150779,24.795839073357943,24.320085342785735
+2020-11-02,26.922831859295144,27.82354532529613,25.674349575772265,25.10606042171194
+2020-11-03,27.397570615920607,27.85274430208154,27.046157626570107,26.788674218354103
+2020-11-04,25.454979581814506,26.22439508627784,24.67458669891198,24.038324173802412
+2020-11-05,27.3522272802156,27.90116406619377,26.569329168259603,26.00022542435087
+2020-11-06,26.49609745395151,27.35405865376936,25.384028823343247,24.93021731040833
+2020-11-09,24.69794801823974,25.538827764653597,23.52383945885679,23.12162368241233
+2020-11-10,23.345898819075817,24.11771734644402,22.13448042278296,21.892632728991064
+2020-11-11,23.346725486761244,24.118502432885915,22.02731719240748,21.66657138882864
+2020-11-12,23.482040289457387,24.347561386403257,21.9447268681875,21.48588985323052
+2020-11-13,23.478375096205763,24.342661915213608,21.83453870037688,21.391573387497356
+2020-11-16,24.255988834071317,25.03271417638164,22.91510798946824,22.580575505344605
+2020-11-17,24.04104906262097,24.90684416945076,22.486233414314498,22.13696430928584
+2020-11-18,24.100690082045094,25.028474713345645,22.520844807926032,22.049455561278712
+2020-11-19,23.724186114090724,24.83801804805109,21.87730419157036,21.249605181563545
+2020-11-20,23.70472301518404,24.81021264227108,21.879793263473555,21.237794942696443
+2020-11-23,23.400142744756725,24.373061446836385,21.57766071213701,20.81092719931767
+2020-11-24,23.968363112483917,24.747126051891243,22.50525624479504,21.688975904664545
+2020-11-25,23.64558777154372,24.33126569147924,22.342975965452677,21.552264312741823
+2020-12-01,23.56253579297813,24.16935044937488,22.36048857201552,21.720185553234085
+2020-12-02,23.481158738930237,24.090557866062763,22.36595336703077,21.881573409650382
+2020-12-03,23.4854471021272,24.133191744575363,22.204598908357216,21.607792922399607
+2020-12-04,23.33055436122916,24.09682091058429,21.843680957055465,21.11558465138904
+2020-12-07,23.054710876507635,23.77039071036475,21.701865959388645,21.10382171623404
+2020-12-08,22.964058594018024,23.68102410101852,21.651599019222605,21.098376835267395
+2020-12-09,23.1108534823612,23.78738268842302,21.81864179444864,21.38511786181645
+2020-12-10,21.81500154841519,22.49088216374499,20.540464462462047,20.05922122804557
+2020-12-11,21.926691992994943,22.481820704471968,20.656023638866596,20.13749543329504
+2020-12-14,21.5409415276074,22.008616186058717,20.350427181455675,19.80555772407088
+2020-12-15,22.057020462540063,22.416618340885808,21.039449133254283,20.584850106418624
+2020-12-16,21.8243108403162,22.14570803874095,20.833395363668004,20.420184298249158
+2020-12-17,21.627836693526305,21.98633271293943,20.63390545253214,20.204831453396498
+2020-12-18,21.298787578267444,21.75435955064969,20.249066343657763,19.762525000315318
+2020-12-21,21.36842290108675,21.67221179302858,20.54081795482923,20.11008659291704
+2020-12-22,20.98600036324567,21.23384675960722,20.11827045327416,19.765443893582628
+2020-12-23,20.714785567293312,20.91127039339293,19.963068534155717,19.60738855978404
+2020-12-24,20.14642368115013,20.357292270984907,19.369758438799888,18.94537831509178
+2020-12-29,19.803145026592496,20.080570959516333,18.98107225513011,18.55023353433857
+2020-12-30,20.3483056617364,20.66929172306869,19.412297176244145,19.02965023561213
+2020-12-31,19.83695637322499,20.094724146057462,19.032872887981345,18.654643158700544
+2021-01-05,20.799899380500005,20.81911996792409,20.29662213059646,20.16169355912123
+2021-01-06,19.859034013888916,19.29939981352913,20.06785840640176,19.864513968702504
+2021-01-07,15.175572473553244,14.01273166105273,16.81569493601043,17.09108794245661
+2021-01-08,15.951414461883868,14.860726394782048,17.394695674349826,17.06217970610265
+2021-01-11,15.237294251796865,14.340246096659806,16.673159484650412,16.431007475519795
+2021-01-12,14.504501269954051,13.767798071850647,15.717618660378063,15.43976307217154
+2021-01-13,14.344054673195286,13.666773917277078,15.497704873696366,15.213587427483514
+2021-01-14,14.606558986367984,13.912044172138524,15.774220020988295,15.469925762334086
+2021-01-15,14.74965121925688,14.414030459435608,15.576410411189151,15.247468167234825
+2021-01-20,14.5609515588302,14.179305103055931,15.406838526327652,15.12488937634004
+2021-01-21,14.566120682638726,14.220076588277308,15.353307332546136,15.075482143322963
+2021-01-22,14.258817910916008,13.851415501223718,15.101384095731394,14.795815467615512
+2021-01-25,13.964048962601549,13.479622814345996,14.949476164045116,14.72407740461217
+2021-01-26,13.887028263826853,13.496336886468391,14.835680899280618,14.561616594188925
+2021-01-27,12.818821258615989,12.528091814301211,13.43538987384104,13.132856936259133
+2021-01-28,12.579491042663474,12.310907861564148,13.226311407753846,12.98257351996986
+2021-01-29,14.01634763600156,13.385353735983005,14.970385433392124,14.79223210213457
+2021-02-01,15.8115809625533,15.910698320896948,15.880380062592655,15.510432523979276
+2021-02-02,16.972108553873976,16.519208407317258,17.649890624460653,17.395167041301793
+2021-02-03,16.811089980742214,16.39288653972732,17.454785754462478,17.130494419850304
+2021-02-04,16.113571429957826,15.833219105408569,16.631503923801535,16.35776841382183
